epoch,r1_i2t,r5_i2t,r10_i2t,r1_t2i,r5_t2i,r10_t2i,mean_r1,zs_cifar10,logit_scale,exp_logit_scale,lr,loss
1,0.0,3.0,10.0,1.0,5.0,10.0,0.5,10.0,2.656533718109131,14.246819496154785,0.0004999302593030068,4.869705021381378
2,1.0,5.0,10.0,1.0,5.0,9.0,1.0,10.0,2.653035879135132,14.197073936462402,0.0004943719849405347,4.852002143859863
3,1.0,5.0,10.0,1.0,5.0,10.0,1.0,10.0,2.6503264904022217,14.158660888671875,0.00048011339268866506,4.8520166873931885
4,1.0,5.0,10.0,1.0,5.0,10.0,1.0,10.46,2.6480331420898438,14.126227378845215,0.00045766212782955576,4.852017045021057
5,1.0,5.0,10.0,1.0,5.0,10.0,1.0,10.99,2.6460158824920654,14.097759246826172,0.0004278175174273988,4.852015793323517
6,0.0,5.0,11.0,1.0,5.0,9.0,0.5,11.51,2.6442208290100098,14.072476387023926,0.0003916421120763106,4.85201358795166
7,1.0,5.0,10.0,1.0,5.0,10.0,1.0,10.0,2.6426310539245605,14.050121307373047,0.0003504238561632424,4.8520097732543945
8,0.0,6.0,9.0,1.0,4.0,10.0,0.5,10.0,2.6412460803985596,14.030675888061523,0.0003056302334890786,4.8520050048828125
9,0.0,4.0,9.0,1.0,5.0,10.0,0.5,10.0,2.6400671005249023,14.014143943786621,0.00025885602079051353,4.8519991636276245
10,1.0,4.0,10.0,1.0,5.0,10.0,1.0,10.0,2.639094591140747,14.000521659851074,0.0002117665092816885,4.851990461349487
11,1.0,6.0,9.0,1.0,4.0,10.0,1.0,10.0,2.638324022293091,13.989737510681152,0.00016603821568559436,4.85197639465332
12,1.0,4.0,10.0,1.0,5.0,10.0,1.0,10.0,2.637742042541504,13.981597900390625,0.00012329919360634,4.851953208446503
13,2.0,5.0,11.0,1.0,5.0,9.0,1.5,10.0,2.6373326778411865,13.975875854492188,8.507107032236322e-05,4.851916968822479
14,1.0,6.0,13.0,1.0,5.0,10.0,1.0,11.03,2.637072801589966,13.972244262695312,5.271487265090164e-05,4.851849555969238
15,1.0,5.0,11.0,1.0,6.0,9.0,1.0,11.19,2.6369340419769287,13.970305442810059,2.7382570632638855e-05,4.851730287075043
16,0.0,4.0,11.0,1.0,5.0,10.0,0.5,11.48,2.6368813514709473,13.969569206237793,9.976064215241859e-06,4.851537346839905
17,1.0,5.0,10.0,1.0,5.0,10.0,1.0,11.36,2.636871814727783,13.969436645507812,1.1150731231791277e-06,4.851302802562714
18,0.0,5.0,11.0,1.0,5.0,10.0,0.5,13.39,2.636871337890625,13.969429969787598,1.1150731231791e-06,4.85122150182724
19,1.0,5.0,12.0,1.0,6.0,10.0,1.0,11.13,2.6368706226348877,13.969419479370117,9.976064215241832e-06,4.851150691509247
20,0.0,3.0,11.0,1.0,6.0,10.0,0.5,11.87,2.6368937492370605,13.969742774963379,2.7382570632638824e-05,4.850467562675476
1,1.0,5.0,11.0,1.0,5.0,10.0,1.0,10.0,2.657331705093384,14.258193016052246,0.0004375,4.865958281925747
2,1.0,6.0,10.0,1.0,5.0,10.0,1.0,10.0,2.6541926860809326,14.213506698608398,0.0004980801449342612,4.851931640080044
3,1.0,5.0,10.0,1.0,5.0,10.0,1.0,10.0,2.6516852378845215,14.177911758422852,0.0004910299485003034,4.85197993687221
4,1.0,5.0,10.0,1.0,5.0,9.0,1.0,10.0,2.6495423316955566,14.147562026977539,0.00047894333166376434,4.851976599012103
5,1.0,5.0,10.0,1.0,5.0,10.0,1.0,10.0,2.6476328372955322,14.120573043823242,0.0004620728492793934,4.851946422031948
6,1.0,5.0,10.0,1.0,5.0,10.0,1.0,9.94,2.6459174156188965,14.0963716506958,0.00044077101704995163,4.8518202645438055
1,1.0,5.0,10.0,1.0,5.0,10.0,1.0,10.0,2.6565465927124023,14.247003555297852,0.0004999302593030068,4.863376319408417
2,1.0,5.0,10.0,1.0,5.0,10.0,1.0,10.0,2.6530728340148926,14.197598457336426,0.0004943719849405347,4.851953208446503
3,1.0,5.0,11.0,1.0,5.0,10.0,1.0,10.0,2.650388479232788,14.159538269042969,0.00048011339268866506,4.851955413818359
4,0.0,4.0,10.0,1.0,6.0,10.0,0.5,10.0,2.648141860961914,14.127762794494629,0.00045766212782955576,4.851889073848724
5,1.0,5.0,10.0,1.0,6.0,10.0,1.0,11.38,2.646280527114868,14.10149097442627,0.0004278175174273988,4.851175844669342
6,1.0,5.0,10.0,1.0,5.0,10.0,1.0,8.74,2.6443467140197754,14.074247360229492,0.0003916421120763106,4.85230952501297
7,1.0,5.0,10.0,1.0,5.0,10.0,1.0,10.0,2.642573833465576,14.049317359924316,0.0003504238561632424,4.852131426334381
8,1.0,5.0,10.0,1.0,5.0,10.0,1.0,10.0,2.6410372257232666,14.027746200561523,0.0003056302334890786,4.852057337760925
9,1.0,5.0,10.0,1.0,5.0,10.0,1.0,9.44,2.639758348464966,14.009818077087402,0.00025885602079051353,4.852017402648926
10,1.0,5.0,10.0,1.0,5.0,10.0,1.0,9.64,2.6387100219726562,13.995138168334961,0.0002117665092816885,4.8520185351371765
11,1.0,5.0,10.0,1.0,5.0,10.0,1.0,9.42,2.637876510620117,13.983478546142578,0.00016603821568559436,4.852008879184723
12,1.0,5.0,10.0,1.0,5.0,10.0,1.0,9.94,2.6372451782226562,13.974653244018555,0.00012329919360634,4.852002680301666
13,1.0,6.0,11.0,1.0,5.0,10.0,1.0,9.93,2.636789321899414,13.968283653259277,8.507107032236322e-05,4.8519997000694275
14,1.0,5.0,10.0,1.0,5.0,10.0,1.0,9.99,2.636486530303955,13.964055061340332,5.271487265090164e-05,4.851997137069702
15,1.0,6.0,11.0,1.0,5.0,9.0,1.0,11.21,2.6363108158111572,13.961601257324219,2.7382570632638855e-05,4.851995170116425
16,1.0,6.0,10.0,1.0,5.0,10.0,1.0,11.19,2.6362290382385254,13.96045970916748,9.976064215241859e-06,4.851994097232819
17,1.0,5.0,9.0,1.0,5.0,10.0,1.0,9.96,2.63620662689209,13.9601469039917,1.1150731231791277e-06,4.851993381977081
1,1.0,5.0,10.0,1.0,5.0,10.0,1.0,10.0,2.6564924716949463,14.246232032775879,0.0004999302593030068,4.866647005081177
1,1.0,6.0,11.0,1.0,5.0,10.0,1.0,10.0,2.6565537452697754,14.247105598449707,0.0004999302593030068,4.864162385463715
2,1.0,5.0,10.0,1.0,5.0,10.0,1.0,9.82,2.6530861854553223,14.19778823852539,0.0004943719849405347,4.851996004581451
